hole id;depth top  ;depth bottom;strata name;rock name;layer thickness ;resistivity;gamma-gamma;natural gamma;sp;short- distance gamma;well diameter ;aquifer group;pumping level;aquifer thickness;hole depth before pumping ;hole depth after pumping ;hole depth loss ;depth starting pumping ;pumping depth at the end;pumping depth ;section aperture ;k;kp;r;rp;remark 
H502;0;2.3;topsoil;;;15.91913043;1641.18;8.06;-1.58;;147.06;I;;;;;;;;;;;;;;
H502;2.3;8.24;gravel ;Q;;16;1520.724407;8.869237288;-1.58;4599.46988;147.4349153;I;;;;;;;;;;;;;;
H502;8.24;22.46;mudstone;J2z;14.11;24.42231579;1317.494737;13.26835088;-1.922631579;6468.831579;172.5073333;I;;;;;;;;;;;;;;
H502;22.46;44.76;siltstone;;22.13;26.37923767;1238.751121;14.10977578;-3.499327354;6646.293722;197.5706951;I;;;;;;;;;;;;;;
H502;44.76;61.54;mudstone;;16.65;26.40904478;1347.620896;13.5041194;-3.565164179;6911.176119;178.2869254;I;;;;;;;;;;;;;;
H502;61.54;79.43;siltstone;;17.76;28.57835196;1322.617318;15.15597765;-3.422290503;6909.896648;161.7989385;I;;;;;;;;;;;;;;
H502;79.43;99.34;mudstone;;19.76;27.17859296;1425.628141;16.42449749;-3.386507538;7113.085427;179.5752764;I;;;;;;;;;;;;;;
H502;99.34;109.51;siltstone;;10.09;26.94029412;1478.833333;15.33715686;-3.225343137;7344.053922;160.9212255;I;;;;;;;;;;;;;;
H502;109.51;122.81;fine-grained sandstone;;13.2;30.46327068;1276.06015;11.96913534;-3.273984962;6861.026316;143.5994737;I;;;;;;;;;;;;;;
H502;122.81;128.23;mudstone;;5.38;31.48972222;1417;11.44768519;-3.606296296;7282.490741;138.1931481;I;;;;;;;;;;;;;;
H502;128.23;139.91;fine-grained sandstone;;11.59;28.06935897;1466;13.68465812;-3.31508547;7076.923077;179.4871795;I;;;;;;;;;;;;;;
H502;139.91;150.07;siltstone;;10.08;27.80024631;1458.344828;13.76453202;-3.344975369;7172.857143;169.294532;I;;;;;;;;;;;;;;
H502;150.07;165.58;fine-grained sandstone;;15.39;36.86345161;1354.567742;11.57383871;-3.754064516;7148.612903;127.6233871;I;;;;;;;;;;;;;;
H502;165.58;174.43;siltstone;;8.78;34.38079096;1363.644068;12.92389831;-3.524463277;6949.841808;137.8188136;I;;;;;;;;;;;;;;
H502;174.43;184.39;fine-grained sandstone;;9.89;28.50628141;1308.422111;13.67241206;-3.405678392;6955.331658;159.7257789;I;;;;;;;;;;;;;;
H502;184.39;197.12;mudstone;;12.64;28.4254902;1853.92549;12.02168627;-3.414235294;8098.984314;157.6364314;I;;;;;;;;;;;;;;
H502;197.12;206.75;siltstone;;9.56;25.30647668;1618.756477;13.64056995;-3.212746114;7641.901554;189.8296373; II ;ROOF-II;69.04;363.32;363;0.32;200;365;165;215;0.054;0.041;35.74;59.23;
H502;206.75;215.65;fine-grained sandstone;;8.83;33.99488764;1410.691011;11.82449438;-3.595955056;7405.455056;121.4595506; II ;ROOF-II;69.04;363.32;363;0.32;200;365;165;215;0.054;0.041;35.74;59.23;
