hole_id,strata_name,rock_name,aquifer_group,depth_top,depth_bottom,layer_thickness,resistivity,gamma_gamma,natural_gamma,sp,short_distance_gamma,well_diameter,pumping_level,aquifer_thickness,hole_depth_before_pumping,hole_depth_after_pumping,hole_depth_loss,depth_starting_pumping,pumping_depth_at_the_end,pumping_depth,section_aperture,k,kp,r,rp,remark
H1102,mudstone,J2z,I,71.2,104.75,32.08,14.001795555,1282.7714975,13.234459365,-0.8794389515,764.21822115,207.5349004,,,,,,,,,,,,,,
H1102,medium-grained sandstone,,I,126.3,150.7,23.33,14.88729508,1002.22541,12.84946721,-0.522069672,715.3483607,212.7097541,,,,,,,,,,,,,,
H1102,mudstone,,II,150.7,172.4,20.75,14.84562212,1079.940092,12.9487788,-1.379677419,697.5760369,207.9033871,ROOF-II,,,,,,,,,,,,,
H1102,siltstone,,II,172.4,192.0,18.74,16.04336735,1072.836735,13.07747449,-2.138010204,701.1530612,204.5404337,ROOF-II,,,,,,,,,,,,,
H1102,coarse-grained sandstone,,II,192.0,197.2,4.97,18.02884615,1175.826923,12.29346154,-2.669423077,779.3653846,202.2658654,ROOF-II,,,,,,,,,,,,,
H1102,siltstone,,II,197.2,202.7,5.26,18.4,982.4,12.75309091,-3.219454545,689.9090909,199.2180909,ROOF-II,,,,,,,,,,,,,
H1102,medium-grained sandstone,,II,202.7,211.6,8.51,19.48876404,1077.775281,14.69455056,-3.236910112,739.4044944,188.3719101,ROOF-II,,,,,,,,,,,,,
H1102,mudstone,,II,211.6,214.6,2.87,16.43333333,1027.066667,14.98783333,-3.286166667,670.9333333,217.5915,ROOF-II,,,,,,,,,,,,,
H1102,siltstone,,II,214.6,227.0,11.86,15.58467742,772.0887097,13.32084677,-3.625685484,627.9354839,226.9555242,ROOF-II,,,,,,,,,,,,,
H1102,mudstone,,II,227.0,230.8,3.63,19.61842105,946.1315789,14.46315789,-3.627631579,631.1315789,215.8498684,ROOF-II,,,,,,,,,,,,,
H1102,fine-grained sandstone,,II,230.8,235.8,4.78,18.19,1042.34,11.2846,-3.6945,651.32,177.2048,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.069,0.0783,31.04,49.27,
H1102,mudstone,,II,235.8,237.8,1.91,12.475,1057.85,14.502,-3.429,742.3,215.84525,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.069,0.0783,31.04,49.27,
H1102,siltstone,,II,237.8,257.8,19.32,13.9875,1066.725,12.028675,-3.275275,676.63,257.266125,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.058,0.0783,31.04,49.27,
H1102,coarse-grained sandstone,,II,257.8,326.2,66.07,17.32894737,1096.304094,8.59122807,-3.439788012,700.4415205,186.3935965,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.058,0.0783,31.04,49.27,
H1102,fine-grained sandstone,,II,326.2,331.0,4.64,17.30208333,1031.958333,7.714479167,-3.722708333,692.8958333,202.0101042,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.058,0.0783,31.04,49.27,
H1102,coarse-grained sandstone,J2z,II,331.0,341.25,9.9,20.1804878,941.6682927,10.19156098,-3.46497561,657.7560976,235.4414146,SAFZII,98.89,334.4,332.5,-1.9,156.0,335.09,179.09,215.0,0.058,0.0783,31.04,49.27,
H1102,coal,(J2y) 2 coal,III,341.25,347.77,6.3,29.46153846,4921.015385,1.532076923,-3.401538462,736.4153846,238.0370769,ROOF-III,,,,,,,,,,,,,
H1102,siltstone,,III,347.77,351.7,3.8,14.06329114,1127.392405,14.67367089,-3.320253165,592.5316456,261.6146835,CSA2-4,,,,,,,,,,,,,
H1102,fine-grained sandstone,,III,351.7,352.7,0.97,16.4,753.2,13.7345,-3.6945,569.3,248.5905,CSA2-4,,,,,,,,,,,,,
H1102,siltstone,,III,352.7,361.0,8.02,18.34337349,791.9036145,10.73662651,-4.169759036,585.686747,231.1816265,CSA2-4,,,,,,,,,,,,,
H1102,medium-grained sandstone,,III,361.0,371.93,10.56,20.07798165,919.4495413,7.810458716,-3.536651376,619.6146789,195.2079817,CSA2-4,,,,,,,,,,,,,
H1102,coal,,III,371.93,372.18,0.24,17.2,4434.4,8.218,-2.226,721.2,244.758,CSA2-4,,,,,,,,,,,,,
H1102,fine-grained sandstone,,III,372.18,372.78,0.58,24.83333333,2363.5,11.59333333,-2.6775,754.5,245.6458333,CSA2-4,,,,,,,,,,,,,
