num	name	east	north	power	magnitude	shape	type	sfi	ohmS	lwi	geol	flow
1	b1	790496	1175071	50	259	W	CP	0.085606148	158.7735849	5	VOLCANO-SEDIM. SCHISTS	0.5
2	b2	791227	1159566	50	204	V	EC	1.074525011	121.3265306	4.1	GRANITES	0.8
3	b3	774610	1136762	60	360	V	EC	0.223917147	0	0	GRANITES	1
4	b4	776778	1128130	30	119	W	NC	0.023768295	128.5896226	3.9	GRANITES	5
5	b5	762550	1144126	30	1077	W	EC	0.525241806		2.3	GEOSYN. GRANITES	1.5
6	b6	749293	1151782	30	71	W	EC	0.679765545	275.0258824	9.2	GEOSYN. GRANITES	2.2
7	b7	752811	1121390	40	235	V	NC	1.1012812	286.0506912	9	GRANITES	1
8	b8	768671	1128365	60	371	C	EC	0.415496707	403.48	13.1	GRANITES	0.5
9	b9	771477	1114667	60	298	V	CP	0.484059676	292.7790698	10.9	GRANITES	0
10	b10	776919	1109937	40	409	C	EC	0.089901107	167.1237624	5.5	GRANITES	1.3
11	b11	793049	1121101	60	113	V	CB2P	0.926122156	0	0	GRANITES	0
12	b12	789626	1135689	70	57	V	EC	1.240538213	0	0	GRANITES	0
13	b13	782081	1063448	70	624	W	EC	0.258365939	121.6479452	3.9	GRANITES	2
14	b14	768821	1067228	40	587	V	NC	0.77576962	222.7130045	7	GRANITES	3.5
15	b15	769843	1050535	50	300	K	CB2P	0.21684608	169.812	5.3	GNEISS-MIGMATITES	0.3
16	b16	790635	1092760	50	300	V	CP	0.21684608	76.09223301	2.5	GRANITES	1
17	b17	790724	1092779	30	274	W	EC	0.325165892	538.2771429	17.3	VOLCANO-SEDIM. SCHISTS	6.7
18	b18	790838	1093058	50	384	V	CP	0.935443346	195.6990826	6.4	GRANITES	0
19	b19	790618	1092974	40	108	V	CP	1.204700442	123.1645161	3.9	GRANITES	0.3
20	b20	790594	1092865	70	43	V	EC	1.348436187	31	1	GRANITES	0
21	b21	790194	1093026	40	121	W	EC	0.385694608	178.9512195	5.8	VOLCANO-SEDIM. SCHISTS	3.6
22	b22	790207	1093044	20	214	V	CP	0.786408476	187.5358974	6.1	GRANITES	1.8
23	b23	790635	1092760	50	300	V	CP	0.21684608	242.44	7.6	VOLCANO-SEDIM. SCHISTS	1
24	b24	790724	1092789	30	274	V	CP	0.325165892	438	0	VOLCANO-SEDIM. SCHISTS	8
25	b25	790232	1093057	50	113	V	NC	1.20145577	1885	2.5	VOLCANO-SEDIM. SCHISTS	8.4
26	b26	790838	1093058	50	384	U	EC	0.935443346	598.1828025	19.1	GNEISS-MIGMATITES	1.2
27	b27	790618	1092974	40	108	V	CP	1.204700442	371.5824176	11.6	GNEISS-MIGMATITES	1.5
28	b28	790594	1092865	70	43	V	EC	1.348436187	162.7432258	5.2	GNEISS-MIGMATITES	0.3
29	b29	790194	1093026	40	121	W	EC	0.385694608		10.9	GNEISS-MIGMATITES	1.5
30	b30	790207	1093044	20	214	U	EC	0.786408476	134.6957746	4.2	GRANITES	9.9
31	b31	790353	1093052	30	150	W	EC	1.084230398	608.3888199	19.4	GEOSYN. GRANITES	1.6
32	b32	790249	1093099	30	122	W	EC	0.220246374	177.1956522	5.7	GEOSYN. GRANITES	1.2
33	b33	790187	1093022	40	113	U	NC	0.85103117	318.5275168	10.2	VOLCANO-SEDIM. SCHISTS	1
34	b34	790635	1092760	50	300	V	CP	0.21684608	91.38461538	3	VOLCANO-SEDIM. SCHISTS	1
35	b35	790723	1092789	30	274	V	CP	0.325165892	267.6235294	8.8	VOLCANO-SEDIM. SCHISTS	2.2
36	b36	790232	1093057	50	113	V	CB2P	1.20145577	251.8345946	7.8	VOLCANO-SEDIM. SCHISTS	1.5
37	b37	790838	1093058	50	384	V	CP	0.935443346	158.1655738	4.9	GRANITES	0
38	b38	790618	1092974	40	108	V	NC	1.204700442	231.84	7.2	VOLCANO-SEDIM. SCHISTS	0.6
39	b39	790594	1092865	70	43	V	CP	1.348436187	386.9306122	12.4	GRANITES	1.1
40	b40	790194	1093026	40	121	V	CP	0.385694608	327.6428571	10.5	GEOSYN. GRANITES	1
41	b41	790207	1093044	20	214	V	CP	0.786408476	0	0	GEOSYN. GRANITES	0
42	b42	790234	1093062	50	96	W	EC	0.780763738	0	0	GRANITES	1.1
43	b43	790249	1093099	30	122	W	EC	0.220246374		17	GRANITES	1.2
44	b44	790187	1093022	40	113	W	EC	0.85103117	86.69294118	2.9	GRANITES	1
45	b45	768523	1058801	60	171	V	EC	0.645079871	0	0	GRANITES	1
46	b46	778773	1052761	40	60	W	CB2P	0.047140452	98.56	3.2	GNEISS-MIGMATITES	2
