,id,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
0,b1,70,225.905,V,EC,1.4572281518337213,634.0,14.700000000000003,VOLCANO- SEDIM.  SCHISTS,FR1
1,b2,70,139.782,U,EC,0.9671308446994681,435.0,14.700000000000003,VOLCANO- SEDIM.  SCHISTS,FR1
2,b3,50,44.864000000000004,V,CP,5.563805585409631,720.0,12.399999999999999,GEOSYN. GRANITES,FR1
3,b4,90,30.4895,V,EC,5.666451173868663,699.0,21.199999999999996,GEOSYN. GRANITES,FR1
4,b5,60,31.655,V,EC,6.0342815246050865,13.0,0.0,SAFE GRANITES,FR0
5,b6,40,57.9175,V,NC,2.088667464088579,254.10000000000002,8.5,SAFE GRANITES,FR1
6,b7,50,115.96,V,EC,2.36551584885781,689.7,21.7,SAFE GRANITES,FR1
7,b8,30,306.798,V,NC,0.9494363072009706,369.6,12.0,GEOSYN. GRANITES,FR1
8,b9,40,43.4655,C,NC,1.5266765377259546,115.50000000000013,4.300000000000004,SAFE GRANITES,FR1
9,b10,50,310.282,U,EC,0.6069560454607694,306.9000000000001,10.100000000000001,SAFE GRANITES,FR1
10,b11,30,121.212,U,NC,0.42160255719070766,1257.3000000000002,38.9,SAFE GRANITES,FR1
11,b12,50,212.38,K,CB2P,0.3552618923157345,877.8000000000001,27.4,SAFE GRANITES,FR1
12,b13,50,154.364,C,CB2P,0.6877318824033904,455.4000000000001,14.600000000000001,VOLCANO- SEDIM.  SCHISTS,FR1
13,b14,90,77.11,W,EC,3.485114320029666,709.5000000000001,22.3,SAFE GRANITES,FR2
14,b15,70,85.27,U,EC,2.90290807816262,881.1000000000003,27.500000000000004,SAFE GRANITES,FR1
15,b16,60,90.021,U,EC,0.9787678665011121,313.4999999999999,10.299999999999997,SAFE GRANITES,FR1
16,b17,60,35.1515,U,EC,2.055019785323318,435.6,14.0,VOLCANO- SEDIM.  SCHISTS,FR4
17,b18,70,33.676,W,EC,3.3625436868211827,333.29999999999995,10.899999999999999,VOLCANO- SEDIM.  SCHISTS,FR4
18,b19,80,47.195,V,EC,1.8979319812007815,587.4000000000001,18.6,SAFE GRANITES,FR1
19,b20,110,39.425,W,EC,8.971466447825264,409.19999999999993,13.199999999999996,SAFE GRANITES,FR3
20,b21,30,50.691500000000005,V,NC,1.1227620757722536,379.4999999999999,12.299999999999997,GEOSYN. GRANITES,FR4
21,b22,80,32.432,W,EC,7.8667610309084655,359.70000000000005,11.7,SAFE GRANITES,FR3
22,b23,30,42.533,V,NC,1.120347581136084,765.6,24.0,SAFE GRANITES,FR1
23,b24,40,147.879,U,EC,0.9926275138052321,283.79999999999995,9.399999999999999,SAFE GRANITES,FR1
24,b25,60,563.9,V,EC,1.1618664638882048,369.6,12.0,GEOSYN. GRANITES,FR1
25,b26,40,58.073,U,NC,2.469041420269006,491.70000000000016,15.700000000000003,SAFE GRANITES,FR1
26,b27,70,161.855,W,EC,2.213558427855447,874.5,27.299999999999997,SAFE GRANITES,FR1
27,b28,20,545.454,V,NC,0.4754281829354391,485.1,15.5,SAFE GRANITES,FR1
28,b29,30,77.88499999999999,V,NC,1.0594829527541325,283.23,0.0,SAFE GRANITES,FR0
29,b30,110,53.7995,W,EC,8.116092622723864,910.8000000000001,28.4,VOLCANO- SEDIM.  SCHISTS,FR4
30,b31,80,116.35,V,EC,3.324404276741621,504.89999999999986,16.099999999999994,"MIGMATITE, GNEISS",FR1
31,b32,40,233.1,V,EC,0.9041320112896907,428.9999999999999,13.799999999999997,GEOSYN. GRANITES,FR1
32,b33,40,139.66,V,NC,1.483263849260149,465.29999999999995,14.899999999999999,VOLCANO- SEDIM.  SCHISTS,FR2
33,b34,50,191.272,V,EC,0.8476105118203139,316.79999999999995,10.399999999999999,VOLCANO- SEDIM.  SCHISTS,FR2
34,b35,110,863.05,W,EC,2.743865166330893,310.20000000000016,10.200000000000003,SAFE GRANITES,FR1
35,b36,40,619.05,K,EC,1.235799116071208,1194.6000000000001,37.0,SAFE GRANITES,FR1
36,b37,80,888.7,U,EC,1.5233332195934524,1181.3999999999999,36.599999999999994,SAFE GRANITES,FR1
37,b38,70,166.855,W,EC,2.213558427855447,1062.6000000000001,33.0,SAFE GRANITES,FR1
38,b39,110,259.625,K,EC,2.707146766622991,458.70000000000016,14.700000000000003,VOLCANO- SEDIM.  SCHISTS,FR1
39,b40,130,848.65,W,EC,2.5696757728340565,458.70000000000016,14.700000000000003,VOLCANO- SEDIM.  SCHISTS,FR1
40,b41,60,299.72,V,EC,3.373098764524967,382.79999999999995,12.399999999999999,SAFE GRANITES,FR1
41,b42,60,640.8,V,EC,1.9741381746437483,673.1999999999999,21.199999999999996,SAFE GRANITES,FR1
42,b43,50,34.297,C,CP,2.9784801091444626,26.4,0.0,SAFE GRANITES,FR0
43,b44,70,41.756,V,EC,5.97349089991821,254.10000000000002,8.5,SAFE GRANITES,FR1
44,b45,100,30.101,W,CP,10.6044518931168,689.7,21.7,SAFE GRANITES,FR1
45,b46,70,41.756,V,EC,5.97349089991821,369.6,12.0,GEOSYN. GRANITES,FR1
46,b47,50,50.303,V,EC,2.5063855326394933,115.50000000000013,4.300000000000004,SAFE GRANITES,FR1
47,b48,70,40.0465,V,EC,6.242991842356181,10.5,10.100000000000001,VOLCANO- SEDIM.  SCHISTS,FR1
48,b49,70,39.5805,W,EC,4.19341241403868,1257.3000000000002,38.9,SAFE GRANITES,FR1
