AB/2,MN/2,SE1,SE2,SE3,SE4
1,0.4,943,294,1125,457
2,0.4,1179,502,1345,582
3,0.4,1103,572,1213,558
4,0.4,1062,641,1007,421
3,1,1121,453,1130,407
4,1,1102,517,1077,387
5,1,1380,485,927,351
6,1,706,454,902,223
8,1,484,327,878,213
10,1,420,259,731,203
12,1,357,170,540,181
14,1,300,123,451,175
16,1,258,89,407,162
18,1,211,61,331,152
20,1,159,45,321,122
24,1,100,31,230,86
20,5,168,97,206,72
24,5,103,63,188,70
28,5,75,46,102,63
32,5,63,45,98,51
36,5,60,43,87,46
40,5,68,44,81,35
45,5,77,44,78,48
50,5,82,48,65,59
55,5,94,46,54,66
60,5,100,62,67,72
55,10,71,56,79,83
60,10,80,70,88,85
70,10,95,74,101,92
80,10,108,82,112,96
90,10,119,103,120,101
100,10,142,95,156,110
