num,name,east,north,power,magnitude,shape,type,sfi,OhmS,WI,geol,flow
1,KATIALI,790496,1175071,50,259,W,CP,0.085606148,158.7735849,5,VOLCANO-SEDIM. SCHISTS,0.5
2,MAHALE,791227,1159566,50,204,V,EC,1.074525011,121.3265306,4.1,GRANITES,0.8
3,GANAONI,774610,1136762,60,360,V,EC,0.223917147,0,0,GRANITES,1
4,KORO,776778,1128130,30,119,W,NC,0.023768295,128.5896226,3.9,GRANITES,5
5,KOUNOUMON,762550,1144126,30,1077,W,EC,0.525241806,,2.3,GEOSYN. GRANITES,1.5
6,KATIERE,749293,1151782,30,71,W,EC,0.679765545,275.0258824,9.2,GEOSYN. GRANITES,2.2
7,KATANRA,752811,1121390,40,235,V,NC,1.1012812,286.0506912,9,GRANITES,1
8,OUOMON,768671,1128365,60,371,C,EC,0.415496707,403.48,13.1,GRANITES,0.5
9,SELEHO,771477,1114667,60,298,V,CP,0.484059676,292.7790698,10.9,GRANITES,0
10,LAFING,776919,1109937,40,409,C,EC,0.089901107,167.1237624,5.5,GRANITES,1.3
11,KANITELEGUE,793049,1121101,60,113,V,CB2P,0.926122156,0,0,GRANITES,0
12,GBANDO,789626,1135689,70,57,V,EC,1.240538213,0,0,GRANITES,0
13,MONONGO,782081,1063448,70,624,W,EC,0.258365939,121.6479452,3.9,GRANITES,2
14,FODIO,768821,1067228,40,587,V,NC,0.77576962,222.7130045,7,GRANITES,3.5
15,NONGANNA,769843,1050535,50,300,K,CB2P,0.21684608,169.812,5.3,GNEISS-MIGMATITES,0.3
16,KARAKPO,790635,1092760,50,300,V,CP,0.21684608,76.09223301,2.5,GRANITES,1
17,TIORO,790724,1092779,30,274,W,EC,0.325165892,538.2771429,17.3,VOLCANO-SEDIM. SCHISTS,6.7
18,FIMBIASSO,790838,1093058,50,384,V,CP,0.935443346,195.6990826,6.4,GRANITES,0
19,TIOGO,790618,1092974,40,108,V,CP,1.204700442,123.1645161,3.9,GRANITES,0.3
20,NIMBIASSO,790594,1092865,70,43,V,EC,1.348436187,31,1,GRANITES,0
21,POUNIAKELE,790194,1093026,40,121,W,EC,0.385694608,178.9512195,5.8,VOLCANO-SEDIM. SCHISTS,3.6
22,BLEDIEMENE,790207,1093044,20,214,V,CP,0.786408476,187.5358974,6.1,GRANITES,1.8
23,PONONDOUGOU,790635,1092760,50,300,V,CP,0.21684608,242.44,7.6,VOLCANO-SEDIM. SCHISTS,1
24,SANOUALE,790724,1092789,30,274,V,CP,0.325165892,438,0,VOLCANO-SEDIM. SCHISTS,8
25,FAHANDOUGOU,790232,1093057,50,113,V,NC,1.20145577,1885,2.5,VOLCANO-SEDIM. SCHISTS,8.4
26,MARANAMA,790838,1093058,50,384,U,EC,0.935443346,598.1828025,19.1,GNEISS-MIGMATITES,1.2
27,SISSEDOUGOU,790618,1092974,40,108,V,CP,1.204700442,371.5824176,11.6,GNEISS-MIGMATITES,1.5
28,ZANASSO 2,790594,1092865,70,43,V,EC,1.348436187,162.7432258,5.2,GNEISS-MIGMATITES,0.3
29,MOUGNINI,790194,1093026,40,121,W,EC,0.385694608,,10.9,GNEISS-MIGMATITES,1.5
30,ZAGUINASSO,790207,1093044,20,214,U,EC,0.786408476,134.6957746,4.2,GRANITES,9.9
31,NITIADOUGOU,790353,1093052,30,150,W,EC,1.084230398,608.3888199,19.4,GEOSYN. GRANITES,1.6
