Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	001		User Waypoint	29 P 790496 1175071					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:13 PM 		
Waypoint	002		User Waypoint	29 P 791227 1159566					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:15 PM 		
Waypoint	003		User Waypoint	29 P 774610 1136762					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:18 PM 		
Waypoint	004		User Waypoint	29 P 776778 1128130					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:21 PM 		
Waypoint	005		User Waypoint	29 P 762550 1144126					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:24 PM 		
Waypoint	006		User Waypoint	29 P 749293 1151782					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:27 PM 		
Waypoint	007		User Waypoint	29 P 752811 1121390					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:32 PM 		
Waypoint	008		User Waypoint	29 P 768671 1128365					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:35 PM 		
Waypoint	009		User Waypoint	29 P 771477 1114667					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:38 PM 		
Waypoint	010		User Waypoint	29 P 776919 1109937					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:40 PM 		
Waypoint	011		User Waypoint	29 P 793049 1121101					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:43 PM 		
Waypoint	012		User Waypoint	29 P 789626 1135689					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:46 PM 		
Waypoint	013		User Waypoint	29 P 782081 1063448					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:48 PM 		
Waypoint	014		User Waypoint	29 P 768821 1067228					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:51 PM 		
Waypoint	015		User Waypoint	29 P 769843 1050535					Symbol & Name	Unknown	Waypoint					9/5/2021 5:23:57 PM 		
Waypoint	016		User Waypoint	29 P 777565 1043581					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:01 PM 		
Waypoint	017		User Waypoint	29 P 761814 1063749					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:07 PM 		
Waypoint	018		User Waypoint	29 P 753695 1066377					Symbol & Name	Unknown	Waypoint					9/5/2021 5:24:10 PM 		
