Grid	UTM
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	001		User Waypoint	29 P 779491 1127703					Symbol & Name	Unknown	Waypoint					9/5/2021 5:45:42 PM 		
Waypoint	002		User Waypoint	29 P 782855 1120124					Symbol & Name	Unknown	Waypoint					9/5/2021 5:45:47 PM 		
Waypoint	003		User Waypoint	29 P 764749 1110889					Symbol & Name	Unknown	Waypoint					9/5/2021 5:45:49 PM 		
Waypoint	004		User Waypoint	29 P 774495 1083300					Symbol & Name	Unknown	Waypoint					9/5/2021 5:45:55 PM 		
Waypoint	005		User Waypoint	29 P 763312 1092911					Symbol & Name	Unknown	Waypoint					9/5/2021 5:45:59 PM 		
Waypoint	006		User Waypoint	29 P 750028 1103404					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:01 PM 		
Waypoint	007		User Waypoint	29 P 796335 1112851					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:03 PM 		
Waypoint	008		User Waypoint	29 P 776645 1116571					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:05 PM 		
Waypoint	009		User Waypoint	29 P 770261 1127259					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:09 PM 		
Waypoint	010		User Waypoint	29 P 764950 1135420					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:11 PM 		
Waypoint	011		User Waypoint	29 P 779649 1116147					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:14 PM 		
Waypoint	012		User Waypoint	29 P 761337 1096177					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:17 PM 		
Waypoint	013		User Waypoint	29 P 756648 1079593					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:20 PM 		
Waypoint	014		User Waypoint	29 P 748690 1079390					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:23 PM 		
Waypoint	015		User Waypoint	29 P 785844 1050875					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:30 PM 		
Waypoint	016		User Waypoint	29 P 777836 1057377					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:33 PM 		
Waypoint	017		User Waypoint	29 P 772281 1057337					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:35 PM 		
Waypoint	018		User Waypoint	29 P 769019 1051498					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:40 PM 		
Waypoint	019		User Waypoint	29 P 762364 1058310					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:45 PM 		
Waypoint	020		User Waypoint	29 P 755132 1062138					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:48 PM 		
Waypoint	021		User Waypoint	29 P 751669 1063754					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:51 PM 		
Waypoint	022		User Waypoint	29 P 774964 1080470					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:52 PM 		
Waypoint	023		User Waypoint	29 P 743108 1064444					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:55 PM 		
Waypoint	024		User Waypoint	29 P 742109 1056386					Symbol & Name	Unknown	Waypoint					9/5/2021 5:46:58 PM 		
Waypoint	025		User Waypoint	29 P 759426 1048897					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:00 PM 		
Waypoint	026		User Waypoint	29 P 755421 1041415					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:04 PM 		
Waypoint	027		User Waypoint	29 P 744474 1085027					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:09 PM 		
Waypoint	028		User Waypoint	29 P 792785 1085230					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:11 PM 		
Waypoint	029		User Waypoint	29 P 788410 1068940					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:14 PM 		
Waypoint	030		User Waypoint	29 P 789971 1061197					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:16 PM 		
Waypoint	031		User Waypoint	29 P 766015 1051626					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:19 PM 		
Waypoint	032		User Waypoint	29 P 776950 1055432					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:24 PM 		
Waypoint	033		User Waypoint	29 P 774807 1081364					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:33 PM 		
Waypoint	034		User Waypoint	29 P 776908 1081379					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:35 PM 		
Waypoint	035		User Waypoint	29 P 757397 1037998					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:02 PM 		
Waypoint	036		User Waypoint	29 P 769417 1037633					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:05 PM 		
Waypoint	037		User Waypoint	29 P 777166 1046337					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:07 PM 		
Waypoint	038		User Waypoint	29 P 767101 1046564					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:10 PM 		
Waypoint	039		User Waypoint	29 P 764835 1048486					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:12 PM 		
Waypoint	040		User Waypoint	29 P 761398 1046077					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:15 PM 		
Waypoint	041		User Waypoint	29 P 759393 1053668					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:17 PM 		
Waypoint	042		User Waypoint	29 P 755196 1052596					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:20 PM 		
Waypoint	043		User Waypoint	29 P 762777 1063681					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:23 PM 		
Waypoint	044		User Waypoint	29 P 770716 1066123					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:24 PM 		
Waypoint	045		User Waypoint	29 P 769183 1070586					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:26 PM 		
Waypoint	046		User Waypoint	29 P 770141 1083417					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:28 PM 		
Waypoint	047		User Waypoint	29 P 760401 1059937					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:31 PM 		
Waypoint	048		User Waypoint	29 P 764955 1052811					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:33 PM 		
Waypoint	049		User Waypoint	29 P 768352 1060887					Symbol & Name	Unknown	Waypoint					9/5/2021 5:48:36 PM 		
Waypoint	A12	 A12	User Waypoint	29 P 765888 1054868					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:22 PM 		
Waypoint	A121	 A12	User Waypoint	29 P 772458 1054530					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:41 PM 		
Waypoint	A12etA5etRoute	 A12 et  A5 et Route	User Waypoint	29 P 775843 1053609					Symbol & Name	Unknown	Waypoint					9/5/2021 5:47:30 PM 		
