431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
1,b1,790496,1175071,110,136,W,CP,0.388908543,1666.165142,32.0235849,VOLCANO-SEDIM. SCHISTS,2.5
2,b2,791227,1159566,70,142,V,EC,1.340127019,1135.551531,21.4065306,GRANITES,0.8
3,b3,774610,1136762,80,87,V,EC,0.446593772,767.5625,0,GRANITES,1
4,b4,776778,1128130,60,116,W,NC,0.763676099,987.9435534,28.7096226,GRANITES,1.2
5,b5,762550,1144126,70,111,W,EC,0.068500968,769.0958333,2.3,GEOSYN. GRANITES,1.5
6,b6,749293,1151782,80,332,W,EC,1.305545166,1093.1046,25.2458824,GEOSYN. GRANITES,2.2
7,b7,752811,1121390,60,69,V,NC,0.401853034,1375.814574,36.1506912,GRANITES,1
8,b8,768671,1128365,70,60,C,EC,0.390854895,3195.5025,3.53,GRANITES,0.5
9,b9,771477,1114667,60,30,V,CP,0,0,42.7790698,GRANITES,0
10,b10,776919,1109937,70,149,C,EC,0.731855391,1008.281165,17.2537624,GRANITES,1.3
11,b11,793049,1121101,50,50,V,CB2P,0,0,0,GRANITES,0
12,b12,789626,1135689,60,60,V,EC,0,0,0,GRANITES,0
13,b13,782081,1063448,120,197,W,EC,0.595458367,869.7224315,21.8479452,GRANITES,2
14,b14,768821,1067228,50,66,V,NC,0.309370197,5062.623,22.7330045,GRANITES,0.2
15,b15,769843,1050535,60,44,K,CB2P,0.38429716,4730.986944,19.842,GNEISS-MIGMATITES,0.3
16,b16,790635,1092760,70,114,V,CP,0.737850536,945.939199,26.19223301,GRANITES,1
17,b17,790724,1092779,120,156,W,EC,0.305963995,1306.123274,38.6471429,VOLCANO-SEDIM. SCHISTS,3.7
18,b18,790838,1093058,50,39,V,CP,0,0,45.6990826,GRANITES,0
19,b19,790618,1092974,50,22,V,CP,0.323731931,2623.920564,23.1945161,GRANITES,0.3
20,b20,790594,1092865,70,43,V,EC,0,0,31,GRANITES,0
21,b21,790194,1093026,130,450,W,EC,1.074802298,1194.159414,29.3112195,VOLCANO-SEDIM. SCHISTS,3.6
22,b22,790207,1093044,56,232,V,CP,1.034871574,950.5838358,37.7158974,GRANITES,1.8
23,b23,790635,1092760,70,114,V,CP,0.737850536,3294.9825,42.54,VOLCANO-SEDIM. SCHISTS,1
24,b24,790724,1092789,100,74,V,CP,0.134687015,1419.440278,38.3,VOLCANO-SEDIM. SCHISTS,3
25,b25,790232,1093057,110,166,V,NC,0.569220958,1894.919444,35.24,VOLCANO-SEDIM. SCHISTS,2.4
26,b26,790838,1093058,100,82,U,EC,0.171932735,1185.056536,48.4028025,GNEISS-MIGMATITES,2.2
