AB/2,MN/2,SE1,SE2,SE3
1,0.4,61,70,65
2,0.4,79,82,80
3,0.4,90,89,90
4,0.4,98,91,94
3,1,79,97,88
4,1,88,98,93
5,1,87,110,99
6,1,83,115,99
8,1,81,117,99
10,1,97,120,108
12,1,113,121,117
14,1,130,122,126
16,1,144,130,138
18,1,155,147,152
20,1,161,159,161
24,1,166,162,164
20,5,239,181,210
24,5,248,192,220
28,5,245,208,227
32,5,258,212,234
36,5,280,223,250
40,5,312,230,272
45,5,340,257,298
50,5,372,290,332
55,5,402,320,361
60,5,408,322,365
55,10,512,370,441
60,10,525,403,465
70,10,523,420,476
80,10,532,423,477
90,10,549,450,501
100,10,587,485,536
110,10,617,523,570
