station,easting(m),northing(m),rho
0,382741,896203,79
10,382743,896193,62
20,382747,896184,51
30,382749,896176,43
40,382754,896166,42
50,382755,896159,36
60,382759,896150,41
70,382765,896138,41
80,382767,896130,42
90,382769,896123,68
100,382771,896115,74
110,382774,896105,50
120,382776,896094,57
130,382778,896084,54
140,382783,896076,48
150,382787,896067,44
160,382790,896056,53
170,382795,896047,49
180,382798,896039,61
190,382805,896170,87
200,382796,896169,81
210,382786,896167,48
220,382775,896164,34
230,382765,896161,40
240,382755,896160,49
250,382746,896158,43
260,382738,896157,63
270,382727,896154,224
280,382711,896151,118
290,382707,896149,73
300,382696,896147,61
310,382688,896146,67
320,382679,896143,53
330,382670,896141,51
340,382657,896139,42
350,382649,896138,46
360,382637,896135,60
370,382632,896135,75
380,382634,896132,90
390,382614,896130,92
400,382604,896129,95
410,382595,896127,95
420,382596,896143,55
430,382598,896133,62
440,382602,896125,69
450,382602,896118,82
460,382606,896108,87
470,382609,896097,72
480,382612,896089,71
490,382615,896079,65
500,382618,896069,69
510,382622,896057,76
520,382624,896050,73
530,382628,896040,70
540,382631,896031,71
550,382634,896024,76
560,382637,896013,85
570,382640,896002,94
580,382643,895995,82
590,382646,895984,83
600,382651,895975,89
610,382654,895963,86
620,382656,895954,80
630,382659,895947,70
640,382662,895937,58
650,382666,895926,54
660,382668,895920,64
670,382671,895911,62
680,382761,896178,61
690,382758,896168,57
700,382757,896158,53
710,382754,896148,49
720,382751,896138,50
730,382749,896129,51
740,382749,896118,64
750,382747,896110,66
760,382744,896100,60
770,382742,896091,53
780,382739,896082,55
790,382737,896070,59
800,382734,896061,58
810,382734,896051,59
820,382730,896042,59
830,382727,896033,65
840,382727,896023,74
850,382726,896010,83
860,382724,896001,75
870,382722,895990,64
880,382719,895982,59
890,382718,895974,61
900,382717,895961,61
910,382715,895954,63
920,382713,895944,57
930,382713,895934,41
940,382708,895926,60
950,382707,895917,59
960,382705,895908,58
970,382704,895899,58
980,382705,894887,55
990,382704,895879,58
